time,emotion,duration_since_last,abrupt_change
2025-01-26T23:57:08.481083,Felicidad,1.793921,False
2025-01-26T23:57:08.676497,Felicidad,0.195414,False
2025-01-26T23:57:08.872923,Felicidad,0.196426,False
2025-01-26T23:57:09.073953,Neutral,0.20103,True
2025-01-26T23:57:09.277922,Tristeza,0.203969,True
2025-01-26T23:57:09.485040,Felicidad,0.207118,True
2025-01-26T23:57:09.695386,Tristeza,0.210346,True
2025-01-26T23:57:09.879729,Tristeza,0.184343,False
2025-01-26T23:57:11.281469,Neutral,1.40174,True
2025-01-26T23:57:12.285034,Felicidad,1.003565,True
2025-01-26T23:57:12.888147,Miedo,0.603113,True
2025-01-26T23:57:15.884735,Felicidad,2.996588,True
2025-01-26T23:57:16.232067,Felicidad,0.347332,False
2025-01-26T23:57:16.696272,Tristeza,0.464205,True
2025-01-26T23:57:17.284466,Felicidad,0.588194,True
2025-01-26T23:57:17.879497,Felicidad,0.595031,False
2025-01-26T23:57:18.080714,Felicidad,0.201217,False
2025-01-26T23:57:18.253780,Desconocida,0.173066,True
2025-01-26T23:57:18.470035,Neutral,0.216255,True
2025-01-26T23:57:18.887487,Neutral,0.417452,False
2025-01-26T23:57:19.080151,Felicidad,0.192664,True
2025-01-26T23:57:19.279022,Felicidad,0.198871,False
2025-01-26T23:57:19.460459,Desconocida,0.181437,True
2025-01-26T23:57:19.646181,Desconocida,0.185722,False
2025-01-26T23:57:20.047038,Desconocida,0.400857,False
2025-01-26T23:57:20.273362,Felicidad,0.226324,True
2025-01-26T23:57:20.473678,Felicidad,0.200316,False
2025-01-26T23:57:20.672359,Felicidad,0.198681,False
2025-01-26T23:57:20.876358,Neutral,0.203999,True
2025-01-26T23:57:21.082214,Felicidad,0.205856,True
2025-01-26T23:57:21.272261,Felicidad,0.190047,False
2025-01-26T23:57:21.482846,Felicidad,0.210585,False
2025-01-26T23:57:21.676321,Felicidad,0.193475,False
2025-01-26T23:57:21.877689,Felicidad,0.201368,False
2025-01-26T23:57:22.082537,Felicidad,0.204848,False
2025-01-26T23:57:22.278989,Felicidad,0.196452,False
2025-01-26T23:57:22.476771,Felicidad,0.197782,False
2025-01-26T23:57:22.695847,Sorpresa,0.219076,True
2025-01-26T23:57:22.892508,Sorpresa,0.196661,False
2025-01-26T23:57:23.094274,Sorpresa,0.201766,False
2025-01-26T23:57:23.296968,Sorpresa,0.202694,False
2025-01-26T23:57:23.490047,Sorpresa,0.193079,False
2025-01-26T23:57:23.689326,Sorpresa,0.199279,False
2025-01-26T23:57:23.893094,Sorpresa,0.203768,False
2025-01-26T23:57:24.095166,Sorpresa,0.202072,False
2025-01-26T23:57:24.288361,Sorpresa,0.193195,False
2025-01-26T23:57:24.492266,Sorpresa,0.203905,False
2025-01-26T23:57:24.685179,Sorpresa,0.192913,False
2025-01-26T23:57:24.893330,Sorpresa,0.208151,False
2025-01-26T23:57:25.091412,Sorpresa,0.198082,False
2025-01-26T23:57:25.290274,Sorpresa,0.198862,False
2025-01-26T23:57:25.487603,Miedo,0.197329,True
2025-01-26T23:57:25.688950,Tristeza,0.201347,True
2025-01-26T23:57:25.893630,Miedo,0.20468,True
2025-01-26T23:57:26.084018,Miedo,0.190388,False
2025-01-26T23:57:26.294712,Miedo,0.210694,False
2025-01-26T23:57:26.483171,Miedo,0.188459,False
2025-01-26T23:57:26.696590,Miedo,0.213419,False
2025-01-26T23:57:26.886598,Miedo,0.190008,False
2025-01-26T23:57:27.091041,Miedo,0.204443,False
2025-01-26T23:57:27.288784,Neutral,0.197743,True
2025-01-26T23:57:27.488905,Miedo,0.200121,True
2025-01-26T23:57:27.690633,Sorpresa,0.201728,True
2025-01-26T23:57:27.881710,Miedo,0.191077,True
2025-01-26T23:57:28.082763,Miedo,0.201053,False
2025-01-26T23:57:28.290728,Miedo,0.207965,False
2025-01-26T23:57:28.490033,Miedo,0.199305,False
2025-01-26T23:57:28.690506,Miedo,0.200473,False
2025-01-26T23:57:28.883026,Miedo,0.19252,False
2025-01-26T23:57:29.081642,Miedo,0.198616,False
2025-01-26T23:57:29.280779,Miedo,0.199137,False
2025-01-26T23:57:29.479399,Miedo,0.19862,False
2025-01-26T23:57:29.693661,Sorpresa,0.214262,True
2025-01-26T23:57:29.885992,Sorpresa,0.192331,False
2025-01-26T23:57:30.085035,Felicidad,0.199043,True
2025-01-26T23:57:30.287696,Felicidad,0.202661,False
2025-01-26T23:57:30.479293,Felicidad,0.191597,False
2025-01-26T23:57:30.680032,Tristeza,0.200739,True
2025-01-26T23:57:30.877647,Miedo,0.197615,True
2025-01-26T23:57:31.080662,Miedo,0.203015,False
2025-01-26T23:57:31.274205,Miedo,0.193543,False
2025-01-26T23:57:31.478291,Miedo,0.204086,False
2025-01-26T23:57:31.674088,Miedo,0.195797,False
2025-01-26T23:57:31.881120,Miedo,0.207032,False
2025-01-26T23:57:32.077763,Miedo,0.196643,False
2025-01-26T23:57:32.276977,Miedo,0.199214,False
2025-01-26T23:57:32.481865,Miedo,0.204888,False
2025-01-26T23:57:32.682500,Miedo,0.200635,False
2025-01-26T23:57:32.881951,Miedo,0.199451,False
2025-01-26T23:57:33.076153,Miedo,0.194202,False
2025-01-26T23:57:33.278240,Miedo,0.202087,False
2025-01-26T23:57:34.074545,Miedo,0.796305,False
2025-01-26T23:57:34.480074,Miedo,0.405529,False
2025-01-26T23:57:34.879709,Felicidad,0.399635,True
2025-01-26T23:57:35.079768,Felicidad,0.200059,False
2025-01-26T23:57:35.279087,Neutral,0.199319,True
2025-01-26T23:57:35.478362,Neutral,0.199275,False
2025-01-26T23:57:35.676142,Neutral,0.19778,False
2025-01-26T23:57:35.891375,Neutral,0.215233,False
2025-01-26T23:57:36.081800,Miedo,0.190425,True
2025-01-26T23:57:36.284471,Tristeza,0.202671,True
2025-01-26T23:57:36.477728,Miedo,0.193257,True
2025-01-26T23:57:36.676206,Miedo,0.198478,False
2025-01-26T23:57:36.879407,Miedo,0.203201,False
2025-01-26T23:57:37.078310,Miedo,0.198903,False
2025-01-26T23:57:37.274223,Miedo,0.195913,False
2025-01-26T23:57:37.481944,Miedo,0.207721,False
2025-01-26T23:57:37.679893,Felicidad,0.197949,True
2025-01-26T23:57:37.873416,Miedo,0.193523,True
2025-01-26T23:57:38.081468,Neutral,0.208052,True
2025-01-26T23:57:38.279837,Neutral,0.198369,False
2025-01-26T23:57:38.483458,Neutral,0.203621,False
2025-01-26T23:57:38.876644,Neutral,0.393186,False
2025-01-26T23:57:39.077939,Neutral,0.201295,False
2025-01-26T23:57:39.477896,Desagrado,0.399957,True
2025-01-26T23:57:39.676176,Desagrado,0.19828,False
2025-01-26T23:57:39.881385,Desagrado,0.205209,False
2025-01-26T23:57:40.081854,Desagrado,0.200469,False
2025-01-26T23:57:40.282755,Desagrado,0.200901,False
2025-01-26T23:57:40.477252,Desagrado,0.194497,False
2025-01-26T23:57:40.677304,Enojo,0.200052,True
2025-01-26T23:57:40.881139,Neutral,0.203835,True
2025-01-26T23:57:41.080652,Miedo,0.199513,True
2025-01-26T23:57:41.282093,Miedo,0.201441,False
2025-01-26T23:57:41.480672,Miedo,0.198579,False
2025-01-26T23:57:41.677014,Miedo,0.196342,False
2025-01-26T23:57:41.875628,Desagrado,0.198614,True
2025-01-26T23:57:42.079848,Desagrado,0.20422,False
2025-01-26T23:57:42.276796,Desagrado,0.196948,False
2025-01-26T23:57:43.073507,Desagrado,0.796711,False
2025-01-26T23:57:43.276274,Desagrado,0.202767,False
2025-01-26T23:57:43.483866,Desagrado,0.207592,False
2025-01-26T23:57:43.677993,Desagrado,0.194127,False
2025-01-26T23:57:43.883510,Desagrado,0.205517,False
2025-01-26T23:57:44.079477,Desagrado,0.195967,False
2025-01-26T23:57:44.281920,Desagrado,0.202443,False
2025-01-26T23:57:44.478276,Desagrado,0.196356,False
2025-01-26T23:57:44.683694,Desagrado,0.205418,False
2025-01-26T23:57:44.881829,Desagrado,0.198135,False
2025-01-26T23:57:45.081123,Desagrado,0.199294,False
2025-01-26T23:57:45.276738,Desagrado,0.195615,False
2025-01-26T23:57:45.479188,Desagrado,0.20245,False
2025-01-26T23:57:45.676098,Desagrado,0.19691,False
2025-01-26T23:57:45.882420,Desagrado,0.206322,False
2025-01-26T23:57:46.081790,Desagrado,0.19937,False
2025-01-26T23:57:46.278715,Desagrado,0.196925,False
2025-01-27T00:01:15.039367,Tristeza,208.760652,True
2025-01-27T00:01:15.236910,Miedo,0.197543,True
2025-01-27T00:01:15.632095,Felicidad,0.395185,True
2025-01-27T00:01:15.840530,Felicidad,0.208435,False
2025-01-27T00:01:16.033153,Felicidad,0.192623,False
2025-01-27T00:01:16.231465,Felicidad,0.198312,False
2025-01-27T00:01:16.642073,Miedo,0.410608,True
2025-01-27T00:01:16.842494,Felicidad,0.200421,True
2025-01-27T00:01:17.235331,Felicidad,0.392837,False
2025-01-27T00:01:18.633786,Felicidad,1.398455,False
2025-01-27T00:01:18.837444,Tristeza,0.203658,True
2025-01-27T00:01:19.028968,Felicidad,0.191524,True
2025-01-27T00:01:19.233424,Felicidad,0.204456,False
2025-01-27T00:01:21.028207,Felicidad,1.794783,False
2025-01-27T00:01:21.233277,Felicidad,0.20507,False
