time,emotion
2025-01-26T00:33:21.454949,Neutral
2025-01-26T00:33:21.649840,Neutral
2025-01-26T00:33:21.730207,Neutral
2025-01-26T00:33:21.856600,Neutral
2025-01-26T00:33:21.939292,Neutral
2025-01-26T00:33:22.054162,Neutral
2025-01-26T00:33:22.140007,Neutral
2025-01-26T00:33:22.256128,Neutral
2025-01-26T00:33:22.341149,Neutral
2025-01-26T00:33:22.453280,Neutral
2025-01-26T00:33:22.540814,Neutral
2025-01-26T00:33:22.654739,Neutral
2025-01-26T00:33:22.730616,Neutral
2025-01-26T00:33:22.855297,Neutral
2025-01-26T00:33:22.941976,Neutral
2025-01-26T00:33:23.057391,Neutral
2025-01-26T00:33:23.141346,Neutral
2025-01-26T00:33:23.255090,Neutral
2025-01-26T00:33:23.340073,Neutral
2025-01-26T00:33:23.456708,Neutral
2025-01-26T00:33:23.533356,Neutral
2025-01-26T00:33:23.648639,Tristeza
2025-01-26T00:33:23.728289,Neutral
2025-01-26T00:33:23.849357,Tristeza
2025-01-26T00:33:23.938963,Neutral
2025-01-26T00:33:24.056934,Neutral
2025-01-26T00:33:24.141075,Neutral
2025-01-26T00:33:24.246814,Neutral
2025-01-26T00:33:24.336131,Tristeza
2025-01-26T00:33:24.456596,Neutral
2025-01-26T00:33:24.537328,Neutral
2025-01-26T00:33:24.657030,Neutral
2025-01-26T00:33:24.732776,Neutral
2025-01-26T00:33:24.854890,Neutral
2025-01-26T00:33:24.940232,Neutral
2025-01-26T00:33:25.057474,Neutral
2025-01-26T00:33:25.143412,Neutral
2025-01-26T00:33:25.252992,Neutral
2025-01-26T00:33:25.329305,Tristeza
2025-01-26T00:33:25.445099,Neutral
2025-01-26T00:33:25.533399,Neutral
2025-01-26T00:33:25.650658,Neutral
2025-01-26T00:33:25.735868,Neutral
2025-01-26T00:33:25.861538,Neutral
2025-01-26T00:33:25.958712,Neutral
2025-01-26T00:33:26.064466,Neutral
2025-01-26T00:33:26.136331,Neutral
2025-01-26T00:33:26.254214,Neutral
2025-01-26T00:33:26.343636,Neutral
2025-01-26T00:33:26.464145,Neutral
2025-01-26T00:33:26.538160,Neutral
2025-01-26T00:33:26.660949,Neutral
2025-01-26T00:33:26.748932,Neutral
2025-01-26T00:33:26.859839,Neutral
2025-01-26T00:33:26.942582,Neutral
2025-01-26T00:33:27.050416,Neutral
2025-01-26T00:33:27.141637,Neutral
2025-01-26T00:33:27.262874,Neutral
2025-01-26T00:33:27.349616,Neutral
2025-01-26T00:33:27.459729,Neutral
2025-01-26T00:33:27.537310,Neutral
2025-01-26T00:33:27.658673,Neutral
2025-01-26T00:33:27.737501,Neutral
2025-01-26T00:33:27.860571,Neutral
2025-01-26T00:33:27.938908,Neutral
2025-01-26T00:33:28.055800,Neutral
2025-01-26T00:33:28.138994,Neutral
2025-01-26T00:33:28.257075,Neutral
2025-01-26T00:33:28.331816,Tristeza
2025-01-26T00:33:28.456187,Neutral
2025-01-26T00:33:28.531418,Tristeza
2025-01-26T00:33:28.657677,Neutral
2025-01-26T00:33:28.732530,Tristeza
2025-01-26T00:33:28.936290,Tristeza
2025-01-26T00:33:29.051139,Neutral
2025-01-26T00:33:29.132489,Neutral
2025-01-26T00:33:29.255030,Miedo
2025-01-26T00:33:29.339481,Neutral
2025-01-26T00:33:29.455758,Neutral
2025-01-26T00:33:29.659406,Neutral
2025-01-26T00:33:29.732191,Tristeza
2025-01-26T00:33:29.850137,Tristeza
